Ns,es,bs
2.0,0.035735748884751395,18.113095560791017
3.0,0.001197506998598108,0.5942105370770829
4.0,1.803375402431584e-5,0.08949400852041417
5.0,1.1447404490994018e-6,0.012717416506089048
6.0,4.35786029484575e-8,0.00418502847513928
7.0,4.404662412582638e-9,0.0007196748829756502
8.0,2.4912516494168813e-10,0.00010227198542118069
9.0,8.326672684688674e-12,1.3227501994015608e-5
10.0,3.0730973321624333e-13,2.244295260514242e-6
11.0,4.796163466380676e-14,3.1594469901064017e-7
12.0,7.105427357601002e-14,4.960152373898784e-8
